,prefix_v4,ips_v4,prefix_v6,48s_v6
50090,5,1280,0,0
207787,15,3840,1,524288
41902,10,2304,0,0
21427,1,256,0,0
58293,5,1280,0,0
58295,1,256,0,0
199608,9,2304,1,65536
31674,1,256,0,0
205757,2,512,0,0
50111,1,256,0,0
205768,1,1024,0,0
31689,20,4352,0,0
41933,2,512,0,0
60369,2,512,0,0
213212,1,256,0,0
205782,1,256,0,0
31704,1,256,0,0
197597,1,256,0,0
25566,1,256,0,0
201713,2,512,0,0
201688,2,768,1,65536
25594,1,256,0,0
44028,4,1024,0,0
9215,4,1024,0,0
197633,12,10240,0,0
8363,1,256,0,0
203606,1,1024,0,0
58109,1,256,0,0
202924,1,256,0,0
41999,1,256,0,0
39427,4,1024,0,0
197654,4,3328,0,0
207213,2,512,0,0
205852,2,1024,0,0
203810,4,1024,0,0
199515,1,256,0,0
33830,5,1280,0,0
205877,4,1024,0,0
199861,0,0,0,0
33856,3,1024,3,524288
205893,4,1024,1,524288
202254,4,1024,0,0
50264,5,1280,0,0
42083,3,768,0,0
51729,1,256,0,0
15464,6,7424,1,1
205935,4,1024,0,0
3188,19,4864,1,524288
33910,1,256,0,0
60607,2,512,0,0
205951,7,4608,0,0
62369,1,256,0,0
208002,4,1024,0,0
199812,1,256,0,0
201863,9,2304,1,524288
205961,1,1024,1,32768
205335,6,1024,0,0
203925,5,1280,0,0
209435,1,256,0,0
48292,6,1536,16,16
33960,1,256,0,0
203634,1,256,0,0
210099,4,1024,0,0
60596,1,256,0,0
206008,1,1024,0,0
48319,1,2048,0,0
201928,8,2048,0,0
50385,1,256,0,0
213309,3,768,0,0
210139,4,1024,0,0
208095,2,512,0,0
199907,5,1280,1,65536
44261,1,256,0,0
42193,2,512,0,0
42216,3,768,0,0
209447,1,1024,0,0
12840,7,8192,0,0
44274,1,256,0,0
60659,1,256,0,0
134392,2,512,2,2
210178,2,1024,0,0
56582,26,6656,1,65536
199984,7,1792,0,0
197906,1,256,0,0
197912,1,256,0,0
198970,5,1280,0,0
197916,1,256,0,0
206119,25,6400,4,2097152
15656,58,14848,0,0
50055,1,1024,0,0
42287,2,1024,0,0
60721,74,18944,6,2883584
197941,1,256,0,0
202790,4,1024,0,0
56643,8,2048,0,0
34117,1,256,0,0
200006,1,256,0,0
48456,2,512,0,0
56650,3,768,0,0
42321,1,256,0,0
5458,1,256,0,0
206163,8,2048,1,524288
57914,2,512,0,0
196837,1,256,0,0
50528,1,256,0,0
42338,4,1024,0,0
44389,1,256,0,0
207429,10,2560,0,0
206192,2,1024,0,0
34162,1,256,0,0
51435,1,256,0,0
205725,2,512,0,0
203611,1,256,0,0
15755,4,1024,0,0
202130,5,2048,0,0
56727,1,1024,0,0
202991,1,1024,0,0
60847,4,1024,0,0
204209,4,1024,0,0
209737,46,11776,1,524288
42421,6,1536,1,1
15798,9,13056,1,65536
39841,4,1024,0,0
15819,1,256,0,0
60881,1,256,0,0
206887,1,1024,0,0
60896,2,9216,0,0
15843,1,1024,0,0
207782,1,256,0,0
208359,1,1024,0,0
213245,4,1024,0,0
206328,4,1024,0,0
44558,213,55296,1,524288
60946,1,256,0,0
44565,49,12544,0,0
15897,396,641024,1,65536
56860,1,256,0,0
208417,4,1024,0,0
204324,2,512,0,0
197894,1,256,0,0
206375,15,3840,0,0
208425,22,5376,1,1
200967,1,256,0,0
8456,19,10496,0,0
15924,294,427520,1,65536
204348,7,2560,8,524288
208445,3,768,0,0
198208,5,3072,0,0
206409,2,512,0,0
207459,11,2816,0,0
200279,1,1024,0,0
42584,7,1536,9,524288
44637,2,512,0,0
34398,1,256,0,0
48737,73,20224,0,0
34403,9,2048,0,0
208485,81,20736,0,0
200977,4,1024,1,524288
207983,5,1280,0,0
209853,12,3072,0,0
205416,1,256,0,0
34418,3,1024,0,0
209171,4,1024,0,0
64447,1,256,0,0
202365,7,1792,27,279
42626,3,1792,0,0
209007,1,256,0,0
200334,0,0,2,2
204056,4,1024,0,0
61084,5,1280,0,0
206449,4,1024,0,0
44713,1,256,0,0
34478,2,512,0,0
208563,0,0,2,257
198325,8,2048,0,0
50875,4,1792,0,0
16069,1,256,0,0
61132,1,1024,0,0
42701,5,1024,0,0
61135,23,5888,4,4
201336,5,1024,0,0
208594,4,1024,0,0
42716,1,256,0,0
44766,1,256,0,0
50913,1,256,0,0
42724,13,3328,0,0
42736,1,256,0,0
204529,1,256,0,0
50941,25,6400,1,65536
202494,1,1024,0,0
48895,5,1024,0,0
206595,1,256,0,0
206556,4,1024,0,0
16135,215,1424896,1,1
202505,14,3584,0,0
198417,6,1536,1,1
34593,2,512,0,0
198436,16,4096,0,0
202536,4,1024,0,0
13278,1,256,0,0
42807,34,22016,1,1
48953,29,8192,1,65536
34619,115,30208,10,10
202557,1,256,0,0
57152,11,2816,0,0
202561,1,1024,0,0
62433,1,256,0,0
51021,1,256,0,0
202588,1,256,0,0
