,prefix_v4,ips_v4,prefix_v6,48s_v6
43019,7,1792,0,0
12812,4,1024,1,524288
42003,62,154112,1,16
59931,15,3840,0,0
42020,8,2048,1,1
197674,13,3328,0,0
43056,4,1024,0,0
47154,1,256,0,0
59955,4,1024,1,65536
34356,1,1024,0,0
203827,1,2048,0,0
24634,28,29696,2,65536
201792,1,256,0,0
34370,1,256,0,0
34884,6,1536,0,0
60999,2,1280,0,0
198727,4,1024,0,0
48206,4,1024,0,0
57937,1,256,0,0
59989,4,1024,0,0
38999,9,2304,0,0
12376,1,256,0,0
39010,121,39424,1,65536
48740,1,256,0,0
47719,4,1024,0,0
3176,3,768,0,0
60524,1,1024,0,0
50285,1,2048,0,0
197249,1,256,0,0
203913,1,256,0,0
34447,4,1024,0,0
62100,3,768,0,0
15511,4,1024,0,0
50839,1,256,0,0
34458,17,4352,0,0
44189,2,512,0,0
31390,4,1024,0,0
57513,10,2560,0,0
61113,2,512,0,0
62144,1,256,0,0
25281,1,1024,0,0
51910,7,1280,0,0
42183,3,768,0,0
48335,2,512,0,0
48847,16,6400,0,0
56530,1,256,0,0
198867,1,256,0,0
3290,1,256,0,0
51938,4,1024,0,0
34032,1,1024,0,0
13044,4,1024,0,0
61172,1,256,0,0
41211,1,256,0,0
60668,1,512,1,65536
16130,37,9472,0,0
35074,146,37376,0,0
57604,1,1024,0,0
34062,4,1024,0,0
16169,4,1024,0,0
12590,3,768,0,0
43824,10,2816,0,0
24892,4,1024,0,0
31037,4,1024,0,0
34113,4,1024,0,0
50500,4,1024,0,0
44870,1,2048,0,0
42828,4,1024,0,0
42835,4,1024,0,0
9051,119,56320,1,65536
42334,25,6400,0,0
29027,5,1024,0,0
31587,4,1024,0,0
42852,13,6912,0,0
41833,82,19456,1,65536
39275,1,256,0,0
203637,2,512,0,0
15739,1,256,0,0
49020,4,1024,0,0
35197,6,1536,0,0
203134,0,0,0,0
25471,4,1024,0,0
20874,4,1024,0,0
29070,5,1024,0,0
61330,5,1024,0,0
25491,4,1024,0,0
34708,7,2048,0,0
24982,2,512,0,0
31126,300,74240,2,65536
57256,8,2048,0,0
58281,2,512,0,0
29099,0,0,0,0
57778,5,1024,0,0
44979,4,1024,0,0
34741,2,512,0,0
29623,4,1024,0,0
39868,1,256,0,0
41423,8,2048,0,0
60372,4,1024,0,0
199643,1,256,0,0
41956,3,768,0,0
39402,4,1024,0,0
39918,3,768,0,0
60398,6,1536,0,0
48629,4,1024,0,0
60406,2,512,0,0
61432,1,256,0,0
8699,5,1024,0,0
