,prefix_v4,ips_v4,prefix_v6,48s_v6
43019,2,512,0,0
12812,0,0,0,0
42003,34,96768,0,0
59931,0,0,0,0
42020,4,1024,0,0
197674,0,0,0,0
43056,0,0,0,0
59955,0,0,0,0
34356,0,0,0,0
203827,0,0,0,0
24634,14,25088,0,0
34370,1,256,0,0
34884,0,0,0,0
60999,0,0,0,0
198727,0,0,0,0
57937,0,0,0,0
50770,1,256,0,0
59989,0,0,0,0
38999,3,768,0,0
12376,1,256,0,0
39010,101,36864,0,0
48740,1,256,0,0
47719,0,0,0,0
3176,0,0,0,0
50285,0,0,0,0
200817,0,0,0,0
197249,0,0,0,0
34447,0,0,0,0
15511,0,0,0,0
44189,2,512,0,0
31390,0,0,0,0
57513,0,0,0,0
61113,0,0,0,0
62144,0,0,0,0
25281,0,0,0,0
51910,0,0,0,0
42183,0,0,0,0
48335,0,0,0,0
48847,1,256,0,0
56530,0,0,0,0
198867,0,0,0,0
51938,0,0,0,0
34032,0,0,0,0
13044,1,256,0,0
61172,0,0,0,0
41211,1,256,0,0
60668,0,0,0,0
16130,32,8192,0,0
35074,39,13568,0,0
34062,0,0,0,0
16169,0,0,0,0
43824,1,512,0,0
196917,1,256,0,0
24892,0,0,0,0
31037,0,0,0,0
34113,0,0,0,0
44870,2,3072,0,0
42828,0,0,0,0
42835,0,0,0,0
204122,0,0,0,0
9051,162,41472,0,0
42334,12,3072,0,0
29027,0,0,0,0
31587,0,0,0,0
42852,11,4096,0,0
51558,0,0,0,0
41833,29,11264,1,65536
39275,1,256,0,0
35197,3,13312,0,0
25471,0,0,0,0
20874,0,0,0,0
29070,0,0,0,0
25491,0,0,0,0
34708,0,0,0,0
24982,0,0,0,0
31126,111,28416,0,0
57256,0,0,0,0
58281,0,0,0,0
29099,0,0,0,0
44979,1,2048,0,0
34741,1,256,0,0
29623,0,0,0,0
39868,1,256,0,0
41423,1,256,0,0
60372,0,0,0,0
199643,0,0,0,0
41956,0,0,0,0
39402,0,0,0,0
39918,2,512,0,0
60398,0,0,0,0
48629,1,1024,0,0
60406,0,0,0,0
61432,0,0,0,0
8699,0,0,0,0
