,prefix_v4,ips_v4,prefix_v6,48s_v6
43019,16,4096,1,524288
12812,7,2048,1,524288
56333,1,256,0,0
42003,56,137728,8,1024
202772,1,256,0,0
208403,3,768,0,0
206360,2,512,0,0
59931,19,4864,0,0
209948,2,512,0,0
42020,9,3072,2,257
205348,0,0,0,0
197674,12,3072,0,0
60972,1,256,0,0
43056,7,1792,0,0
59955,5,1280,0,0
34356,4,1024,0,0
203827,2,512,0,0
24634,26,26624,1,65536
206911,2,512,0,0
201792,2,512,0,0
204352,4,1024,0,0
34370,4,1024,0,0
204356,3,768,0,0
56902,2,512,0,0
60999,5,1024,0,0
206406,3,768,0,0
48206,4,1024,0,0
57937,1,256,0,0
47701,2,1024,0,0
59989,14,4352,0,0
38999,14,3584,5,327680
207445,0,0,2,17
39010,145,41472,7,524288
48740,1,256,0,0
47719,4,1024,0,0
3176,3,768,0,0
41068,4,1024,0,0
50285,1,2048,0,0
60524,1,1024,0,0
48253,4,1024,0,0
208007,1,256,0,0
206472,5,1024,0,0
203913,1,256,0,0
204429,1,1024,0,0
34447,2,1280,0,0
62100,4,1024,0,0
15511,7,1792,0,0
34458,25,6400,0,0
44189,2,512,0,0
31390,4,1024,0,0
57513,10,2304,5,262144
206519,2,512,0,0
61113,2,512,0,0
62144,1,256,0,0
25281,4,1024,0,0
51910,8,1536,0,0
42183,5,1280,0,0
48335,1,256,0,0
48847,15,7936,2,589824
56530,1,256,0,0
198867,2,512,0,0
206550,1,256,0,0
205015,3,768,0,0
3290,4,1024,0,0
51938,3,768,0,0
202987,3,768,0,0
34032,4,1024,0,0
13044,7,1792,0,0
61172,4,1024,0,0
205556,5,1024,0,0
41211,1,256,0,0
35074,150,38400,0,0
57604,4,1024,0,0
205578,1,256,0,0
34062,4,1024,0,0
43791,3,768,0,0
209685,1,1024,0,0
204565,4,1024,0,0
39190,4,1024,0,0
204566,4,1024,0,0
208669,4,1024,8,524288
48418,3,768,0,0
16169,4,1024,0,0
43004,1,256,0,0
12590,4,1024,0,0
43824,20,5120,2,2
208694,4,1024,0,0
209211,1,1024,0,0
24892,1,1024,0,0
31037,8,2048,0,0
34113,4,1024,0,0
203586,1,1024,0,0
50500,4,1024,0,0
201544,1,256,0,0
42828,4,1024,0,0
42835,3,768,0,0
210264,3,1024,0,0
206169,2,512,0,0
204122,2,512,0,0
9051,139,81152,1,65536
42334,67,17152,1,65536
203615,3,768,1,524288
29027,1,1024,0,0
31587,2,512,0,0
42852,12,6144,0,0
51558,2,512,0,0
41833,73,19456,1,65536
39275,1,256,0,0
210292,4,1024,0,0
203637,4,1024,0,0
206197,3,768,0,0
15739,3,768,2,524288
49020,4,1024,0,0
35197,20,5376,0,0
25471,6,1536,0,0
20874,4,1024,0,0
29070,4,1024,0,0
210318,4,1024,0,0
61330,1,256,0,0
25491,4,1024,0,0
35732,0,0,0,0
201107,4,1024,0,0
24982,2,512,0,0
31126,276,75264,8,524288
57256,11,2816,0,0
58281,2,512,0,0
29099,1,256,3,3
208815,4,1024,0,0
57778,5,1024,0,0
44979,4,1024,0,0
34741,3,768,2,8192
29623,4,1024,0,0
64443,4,1024,0,0
39868,1,256,0,0
34763,1,256,0,0
60372,7,1792,0,0
41956,7,1792,0,0
39402,9,2048,1,524288
39918,6,1536,0,0
60398,6,1536,0,0
48629,8,2048,0,0
60406,1,256,0,0
8699,1,1024,0,0
57852,4,1024,0,0
