,prefix_v4,ips_v4,prefix_v6,48s_v6
43019,6,1536,0,0
12812,4,1024,0,0
42003,62,154112,0,0
59931,16,4096,0,0
42020,7,1792,0,0
197674,11,2816,1,65536
43056,3,768,0,0
59955,4,1024,0,0
34356,0,0,0,0
203827,0,0,0,0
24634,44,30720,2,65536
34370,1,256,0,0
34884,0,0,0,0
60999,1,256,0,0
198727,4,1024,0,0
57937,1,256,0,0
50770,1,256,0,0
59989,5,2048,0,0
38999,14,3584,0,0
12376,1,256,0,0
39010,113,40192,1,65536
48740,1,256,0,0
47719,4,1024,0,0
3176,2,512,0,0
50285,1,2048,0,0
200817,0,0,0,0
197249,1,256,0,0
34447,0,0,0,0
15511,0,0,0,0
44189,2,512,0,0
31390,4,1024,0,0
57513,10,2560,0,0
61113,2,512,0,0
62144,1,256,0,0
25281,0,0,0,0
51910,14,3584,0,0
42183,4,1024,0,0
48335,3,768,0,0
48847,3,3328,0,0
56530,1,256,0,0
198867,1,256,0,0
51938,5,1280,0,0
34032,1,1024,0,0
13044,0,0,0,0
61172,1,256,0,0
41211,0,0,0,0
60668,1,512,1,65536
16130,10,2560,0,0
35074,146,37120,0,0
34062,4,1024,0,0
16169,0,0,0,0
43824,4,1280,0,0
196917,1,256,0,0
24892,4,1024,0,0
31037,4,1024,0,0
34113,4,1024,0,0
44870,2,3072,0,0
42828,4,1024,0,0
42835,4,1024,0,0
204122,0,0,0,0
9051,99,51968,1,65536
42334,3,16640,0,0
29027,0,0,0,0
31587,0,0,0,0
42852,13,6912,0,0
51558,15,3840,0,0
41833,23,19456,1,65536
39275,1,256,0,0
35197,29,13312,0,0
25471,0,0,0,0
20874,0,0,0,0
29070,5,1024,0,0
25491,0,0,0,0
34708,7,2048,0,0
24982,2,512,0,0
31126,254,67072,1,32768
57256,8,2048,0,0
58281,2,512,0,0
29099,1,256,0,0
44979,0,0,0,0
34741,2,512,0,0
29623,4,1024,0,0
39868,1,256,0,0
41423,4,1024,0,0
60372,4,1024,0,0
199643,1,256,0,0
41956,4,1024,0,0
39402,1,1024,0,0
39918,3,768,0,0
60398,6,1536,0,0
48629,2,1024,0,0
60406,2,512,0,0
61432,1,256,0,0
8699,0,0,0,0
